country,co2_emmissions
Argentina,2172.3999999999996
Australia,1938.6599999999999
Albania,1777.8500000000001
Iceland,1731.36
New Zealand,1750.95
USA,1718.86
Uruguay,1634.9099999999999
Luxembourg,1598.41
Brazil,1616.73
Kazakhstan,1575.0799999999992
Sweden,1527.0300000000002
Bermuda,1483.28
Denmark,1498.1799999999998
Finland,1464.63
Ireland,1459.6699999999998
Greece,1497.2899999999997
France,1420.05
Canada,1437.1600000000003
Norway,1381.8899999999996
Hong Kong SAR. China,1494.2800000000002
French Polynesia,1424.6899999999998
Israel,1405.7100000000003
Switzerland,1356.7499999999998
Netherlands,1292.82
Kuwait,1345.4399999999998
United Kingdom,1241.6299999999999
Austria,1211.16
Oman,1296.6999999999998
Italy,1206.33
Bahamas,1192.9
Portugal,1174.2800000000002
Malta,1147.9099999999999
Armenia,1109.93
Slovenia,1111.5599999999997
Chile,1099.5700000000002
Venezuela,1104.1000000000001
Belgium,1102.09
Germany,1066.29
Russia,1007.66
Croatia,996.15
Belarus,960.22
Spain,988.4699999999998
Paraguay,876.6700000000001
New Caledonia,918.6200000000001
South Africa,892.4100000000001
Barbados,889.11
Lithuania,868.9
Turkey,897.0099999999999
Estonia,830.72
Mexico,797.1300000000001
Costa Rica,891.2700000000002
Bolivia,873.0300000000001
Ecuador,883.88
Panama,928.4599999999999
Czech Republic,760.09
Romania,766.3
Colombia,781.53
Maldives,903.46
Cyprus,741.37
Serbia,723.34
United Arab Emirates,897.3199999999999
Algeria,707.88
Ukraine,665.73
Pakistan,669.0699999999999
Swaziland,678.94
Latvia,633.58
Bosnia and Herzegovina,628.18
Fiji,716.0899999999997
South Korea,822.0500000000001
Poland,607.4000000000001
Saudi Arabia,692.86
Botswana,576.8399999999999
Macedonia,600.7500000000001
Hungary,576.7900000000001
Trinidad and Tobago,610.4100000000001
Tunisia,618.89
Egypt,673.92
Mauritius,672.0699999999999
Bulgaria,560.16
Morocco,576.42
Slovakia,560.34
Niger,542.89
Kenya,530.8399999999999
Jordan,587.9599999999999
Japan,644.0400000000001
Georgia,527.03
Grenada,439.8500000000001
El Salvador,434.04
Cuba,591.69
China,640.19
Honduras,434.0799999999999
Taiwan. ROC,559.55
Angola,412.9899999999999
Jamaica,450.83000000000004
Namibia,362.11
Belize,433.08
Malaysia,554.64
Zimbabwe,350.3300000000001
Guatemala,314.9800000000001
Uganda,304.7200000000001
Nepal,526.2199999999999
Iran,445.2699999999999
Tanzania,343.02
Senegal,469.42999999999995
Peru,402.84000000000003
Nicaragua,377.69
Vietnam,641.51
Ethiopia,241.92
Myanmar,563.8
Congo,262.55
Zambia,225.30000000000004
Cameroon,283.61
Madagascar,440.75
Malawi,207.94000000000003
Guinea,432.71
Nigeria,267.79
Rwanda,181.63
Philippines,455.28000000000003
Ghana,217.87000000000003
Togo,188.09
Gambia,293.65999999999997
India,282.62
Thailand,378.0
Mozambique,141.4
Cambodia,452.40999999999997
Sierra Leone,300.40999999999997
Sri Lanka,294.46
Indonesia,367.50999999999993
Liberia,203.38
Bangladesh,374.17999999999995
